amenity_id,category,subtype,name,latitude,longitude,district
W1514196143,community,park,(unnamed park),24.444018,54.739283,Al Reef
W1514196145,community,park,(unnamed park),24.443601,54.738363,Al Reef
W1514196148,community,park,(unnamed park),24.442995,54.739153,Al Reef
W1514196149,community,park,(unnamed park),24.442208,54.738117,Al Reef
W1514196165,community,park,(unnamed park),24.440044,54.737225,Al Reef
W1514196192,community,park,(unnamed park),24.438065,54.735578,Al Reef
W1514196201,community,park,(unnamed park),24.436785,54.733594,Al Reef
W1514196249,community,park,(unnamed park),24.435602,54.730746,Al Reef
W1514196250,community,park,(unnamed park),24.435276,54.728361,Al Reef
W1514196287,community,park,(unnamed park),24.454172,54.728055,Al Reef
W1514196311,community,park,(unnamed park),24.445853,54.718052,Al Reef
W1514196328,community,park,(unnamed park),24.453878,54.730868,Al Reef
W1514196332,community,park,(unnamed park),24.453856,54.725665,Al Reef
W1514196359,community,park,(unnamed park),24.451395,54.720832,Al Reef
W1514196365,community,park,(unnamed park),24.445427,54.717129,Al Reef
W1514196373,community,park,(unnamed park),24.443119,54.740251,Al Reef
W1514267127,community,park,(unnamed park),24.404257,54.700499,Al Reef
W1519561979,community,park,(unnamed park),24.38568,54.689836,Al Reef
W1519561982,community,park,(unnamed park),24.382074,54.692075,Al Reef
W1520392447,community,park,(unnamed park),24.426234,54.749221,Al Reef
W1520392461,community,park,(unnamed park),24.436458,54.715923,Al Reef
W1520392465,community,park,(unnamed park),24.420458,54.72969,Al Reef
W1520392471,community,park,(unnamed park),24.421897,54.746183,Al Reef
W1520392474,community,park,(unnamed park),24.429886,54.753573,Al Reef
W1520392480,community,park,(unnamed park),24.406058,54.746978,Al Reef
W1520392482,community,park,(unnamed park),24.397321,54.738733,Al Reef
N2210268974,community,place_of_worship,(unnamed place_of_worship),24.383841,54.700381,Al Reef
N4762198307,community,place_of_worship,(unnamed place_of_worship),24.378324,54.663005,Al Reef
W115733340,community,place_of_worship,(unnamed place_of_worship),24.37387,54.659591,Al Reef
W378639203,community,place_of_worship,(unnamed place_of_worship),24.453663,54.674156,Al Reef
W378639204,community,place_of_worship,(unnamed place_of_worship),24.456199,54.669627,Al Reef
W378639205,community,place_of_worship,(unnamed place_of_worship),24.458623,54.673496,Al Reef
